,BC,PageRank,closeness,EigenDegree,Degree,size
ER_1000_10_0,165,157,170,181,162,1000
ER_1000_10_1,170,162,177,177,158,1000
ER_1000_15_0,209,199,213,219,202,1000
ER_1000_15_1,196,190,220,217,190,1000
ER_1000_20_0,219,222,232,236,216,1000
ER_1000_20_1,232,226,245,241,237,1000
ER_2000_10_0,357,326,377,374,331,2000
ER_2000_10_1,351,328,369,375,328,2000
ER_2000_15_0,412,392,439,434,395,2000
ER_2000_15_1,412,399,430,423,397,2000
ER_2000_20_0,460,449,482,476,457,2000
ER_2000_20_1,454,448,476,479,451,2000
ER_5000_10_0,898,801,908,911,813,5000
ER_5000_10_1,887,813,912,901,822,5000
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ER_5000_15_0,1058,987,1094,1072,994,5000
ER_5000_15_1,1077,995,1088,1083,1020,5000
,,,,,,
,,,,,,
ER_5000_20_0,1168,1099,1185,1197,1115,5000
ER_5000_20_1,1206,1128,1210,1213,1146,5000
